recording_id,duration,conversation_detected,conversation_confidence,caller_has_speech,receiver_has_speech,caller_speech_duration,receiver_speech_duration,turn_switches,snr_db,is_mono
97934429c0092cede0f17fa7de97195j,34.07975,True,1.0,True,True,13.854375,6.041249999999998,11,101.0927734375,False
5aa29dd411eec76cf0ca9e08fdd7195p,8.97975,True,1.0,True,True,1.5187499999999985,1.4850000000000008,3,103.8983154296875,False
adc0031af9dbfa1098673a494525195i,12.52,True,0.8643552729038624,True,True,2.4637499999999966,1.4343749999999986,7,88.94786834716797,False
52e7974acebe574379d92c95bafc195k,14.83975,True,1.0,True,True,4.4381249999999985,2.6662500000000002,5,100.12879943847656,False
38e6814f069821abbb0185261ed2195n,43.272,True,0.7,True,True,32.400000000000006,32.400000000000006,15,105.33890533447266,True
7501eb06cb153d7fe5480fd53163195q,20.3,True,0.959775936883629,True,True,7.4081249999999965,8.555624999999997,5,105.85018920898438,False
afe77f6ad2b745c3150292869683195n,19.83975,True,1.0,True,True,6.851250000000004,7.053750000000001,8,108.26455688476562,False
09f33f9a9d894251090feae4ffb0195p,12.719375,False,0.6444925893784422,True,True,0.489374999999999,0.9956249999999969,1,83.29972076416016,False
958f0a6808934369e8a3aac7a887195k,63.05975,True,1.0,True,True,27.320624999999982,24.755625000000006,20,107.2067642211914,False
d303ce3cdb4105a6bda3f27ae143195d,11.23975,True,0.9633390134529147,True,True,3.3749999999999987,3.763124999999998,5,96.40827941894531,False
181abd17771c5f7032a06801abae195k,21.99975,True,1.0,True,True,7.3575000000000035,7.205625000000001,11,106.32560729980469,False
3ab879852a1bd6a98b192729499f195d,7.81975,False,0.2,True,False,0.9618750000000009,0,0,85.36581420898438,False
a86734df38b18c744da62343f48e195q,11.059875,False,0.5113095238095239,False,True,2.8349999999999986,0.7931250000000021,3,89.91272735595703,False
97e4217f02c67a63aa9dc9c76495195d,11.49975,False,0.2,False,True,0,1.6200000000000023,0,96.57622528076172,False
fe08341d5fd103ab6567b99dc2ae195g,27.43975,True,1.0,True,True,7.762500000000001,5.7375,9,103.65642547607422,False
482812418eb8fd6baeda76110555195q,13.0,False,0.1,False,True,0.1687499999999993,0.6243749999999997,1,79.4801254272461,False
9b55e61f04c3b4e42e1ba44456fe195q,33.15975,True,0.9959417382999044,True,True,17.668125,8.133750000000008,12,102.98225402832031,False
64e481ff8e787742ad6e17c640b7195h,13.95975,False,0.2,True,False,11.795625000000001,0,0,103.72760009765625,False
12e935e1883a64b376c3dc2d92b9195l,169.179875,True,1.0,True,True,65.61000000000008,93.99374999999998,48,107.99891662597656,False
f98099ea3aee77260980eb78316d195q,9.35975,True,0.8884931506849314,True,True,1.7887499999999994,2.46375,3,103.87298583984375,False
441dc53ef7adb99b01f8c9d07461195e,201.85975,True,0.8437308706658552,True,True,147.16687499999998,22.848749999999992,39,104.45343017578125,False
165d008601fd01550d2692003b97195q,17.41975,False,0.5124870466321243,False,True,2.7675,6.51375,4,96.61463928222656,False
22deed95399ed0beba56d0376087195j,4.12,False,0.6325,True,True,3.054375000000001,2.46375,1,106.05335235595703,False
dad9519fb243dcf53a0d760e10ed195q,9.79975,False,0.2,False,True,0,0.8268750000000007,0,87.08064270019531,False
fe08da504dccc2c244adbc15b043195c,5.17975,False,0.5435254499672928,True,True,1.5862500000000002,0.54,1,94.17113494873047,False
722313d2b0d80739b06f61a2a402195e,45.27975,True,1.0,True,True,11.03624999999999,15.103124999999995,19,107.28475952148438,False
ae9b2ef589d54eecd3e6ff7885e7195f,22.8,True,0.8163945379298879,True,True,1.1981250000000006,9.348749999999999,4,101.7884521484375,False
0b71364569b6812ff6994078017a195k,44.56,True,0.8276464897733554,True,True,30.526875000000008,4.623749999999998,16,104.45484161376953,False
8e2f964925b4abf8805ba9def3e9195g,24.759875,True,0.8556878306878307,True,True,12.7575,2.851875000000005,6,104.436767578125,False
6bea9341be541da16d88804921e0195j,17.93975,False,0.5165690376569038,False,True,6.1762500000000005,8.06625,8,103.94538879394531,False
58a6b706ca6bc7a0329ed0e648a7195k,14.92,False,0.5513173652694611,False,True,2.8181249999999984,1.1643749999999995,3,97.10049438476562,False
f49442b8e756eaf9ba19439e730d195o,17.33975,True,1.0,True,True,5.805,9.061874999999992,9,103.94100952148438,False
104eb02bb3aba8a4450215e195e6195d,6.83975,False,0.1,False,True,0,0.45562499999999995,0,90.7951431274414,False
892ea0e2fd7158f48c39e6474bf9195n,16.59975,True,0.923854980363563,True,True,1.856250000000001,3.054375000000002,6,96.41327667236328,False
8354cd75943e4b070387b954c69a195h,9.14,False,0.2,False,True,0,1.18125,0,97.35855865478516,False
93c14fe321d372028bbb61a92b02195k,4.63975,False,0.2,False,True,0,0.18562499999999993,0,79.13031005859375,False
971cb4a2a0d81d6c0b5eb179b090195g,42.69975,True,0.8983249041210006,True,True,17.600624999999997,5.90625,11,92.91035461425781,False
e16365f1f4a0678c08374c4ebe4f195e,11.22,True,1.0,True,True,6.041250000000002,2.2781250000000006,4,101.02295684814453,False
adf2dbc04e828a02a3444ea8f571195n,5.832,False,0.4427499999999999,True,True,5.8218749999999995,5.8218749999999995,1,101.36071014404297,True
453063e4751b35fd46a4eb629ea0195p,10.2,True,1.0,True,True,3.121874999999999,3.121875000000001,4,108.97650909423828,False
771445c653b5ad294d4766aa6e13195g,37.82,True,1.0,True,True,11.35687500000001,6.496875000000001,9,102.4367904663086,False
839da9b227d27142f63493e377f8195n,30.01975,True,1.0,True,True,9.382499999999993,8.370000000000008,5,97.78616333007812,False
199bc054230c9b318b98ea3f520a195e,84.54,True,1.0,True,True,16.115624999999987,15.035625000000005,21,100.28717803955078,False
ddd7b10e40e0dfffe678f7a26707195j,21.259875,True,1.0,True,True,14.394375000000002,7.492500000000004,10,101.61750030517578,False
7cca611468ca2d519f3e5318d9e7195g,33.95975,True,1.0,True,True,15.136874999999996,10.428749999999997,16,101.87239837646484,False
c69d8b64939e31472ba9ae44a518195j,35.73975,True,0.9924510818438381,True,True,17.938125,13.094999999999999,8,103.0843734741211,False
cef47dfa16166a7b54cf20451b97195p,28.21975,True,1.0,True,True,7.5431250000000025,12.858749999999993,6,105.9219741821289,False
3e2296a3ffeaf4c729bdb8fc12ac195l,106.72,True,1.0,True,True,30.42562499999997,51.907499999999985,43,102.68497467041016,False
e1750030a485652f5b4e3a738151195e,9.51975,True,0.752133085464989,True,True,3.3243750000000007,0.6749999999999994,3,98.48710632324219,False
f460992a331c88841e6afc51fca7195f,9.72,True,0.7719512195121951,True,True,6.226875000000002,1.3668750000000003,4,104.88697814941406,False
e7ba130720e078fd46f26e891f13195e,16.77975,False,0.49341013824884794,False,True,3.661874999999999,1.4849999999999988,7,93.44357299804688,False
47009e0358e1707bd3b034beae02195l,16.63975,True,0.7894771241830065,True,True,0.9787499999999985,10.327500000000002,5,100.45570373535156,False
b0e5a4210458b8b9961bdcf2a6ad195e,11.57975,False,0.4069723439625208,True,True,2.193749999999999,0.8268750000000002,1,92.85874938964844,False
bfb2c7f8fdf69e24845a25cfd056195e,15.25975,False,0.31000000000000005,False,True,2.278125000000001,1.3668750000000007,5,93.1643295288086,False
e872d26b95ad710335d087766352195f,8.76,True,0.9612916184842553,True,True,1.2993750000000013,0.995625,2,87.91886138916016,False
789b9a0ee216e07d21a847475bf8195d,502.13975,True,1.0,True,True,227.35687499999963,215.61187500000017,137,105.07600402832031,False
dd990e1046292a3be5eb4b57ab85195q,211.42,True,1.0,True,True,97.36875000000002,118.58062500000008,54,108.52203369140625,False
d4e7601d48f5d21efb8dd84f52d1195q,5.69975,True,0.8666953442158774,True,True,0.3881250000000005,0.607499999999999,2,99.32325744628906,False
1d30d74bb57d4119462b4f42543c195q,7.27975,False,0.2,False,True,0,1.7550000000000014,0,88.52987670898438,False
0dfe2bff6fa2964629c075a6f0ec195i,11.38,False,0.2,False,True,0,1.4006250000000007,0,91.57105255126953,False
15ffa33419a65e2f93c2d2a7c349195j,100.51975,True,1.0,True,True,45.427500000000016,27.101249999999972,30,108.64529418945312,False
31ae08445f47e0b3f881d0978dfb195c,5.37975,False,0.2,True,False,0.25312500000000004,0.3037500000000002,1,82.3829574584961,False
d5259990861d4266198b6c64f275195g,56.51975,True,0.8576016374929418,True,True,6.007500000000009,29.885624999999987,16,103.33184051513672,False
750d31b5d70ea9239f9ac2b656ed195h,10.39975,True,1.0,True,True,1.9237500000000005,1.5693750000000006,2,108.69454193115234,False
565064811d076d8d4c41235e48ec195q,13.89975,True,1.0,True,True,4.89375,4.623750000000001,5,103.55604553222656,False
cfc73c818d989dda98e4309f9545195g,3.37975,False,0.4,True,False,1.9406250000000003,0.5231250000000001,1,97.5863265991211,False
9ed5290d27c211e5c3589f53b33a195m,17.02,True,1.0,True,True,6.395624999999999,4.809375,5,100.94755554199219,False
34273f9be9a2d64befe7af02255a195l,40.69975,True,0.9297859078590784,True,True,15.103124999999995,31.134375,4,101.55541229248047,False
b036687955b9fcfa0bb7b7090c0f195n,604.06,True,1.0,True,True,343.16999999999973,142.5937500000001,165,111.71614074707031,False
